"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2023","30,781.0","30,413.8","30,998.1","30,343.2","16.00K","1.20%"
"04/13/2023","30,414.8","29,912.2","30,567.2","29,884.6","12.50K","1.68%"
"04/12/2023","29,912.2","30,233.7","30,474.3","29,695.5","14.96K","-1.07%"
"04/11/2023","30,234.5","29,659.8","30,552.9","29,614.1","18.63K","1.94%"
"04/10/2023","29,659.3","28,341.9","29,792.5","28,188.6","15.74K","4.65%"
"04/09/2023","28,342.6","27,959.9","28,536.0","27,824.1","6.13K","1.37%"
"04/08/2023","27,959.9","27,929.0","28,169.6","27,884.7","3.85K","0.11%"
"04/07/2023","27,929.0","28,053.9","28,118.8","27,808.0","5.85K","-0.46%"
"04/06/2023","28,057.3","28,181.3","28,191.8","27,753.2","10.29K","-0.44%"
"04/05/2023","28,181.3","28,175.4","28,780.1","27,826.3","15.06K","0.02%"
"04/04/2023","28,175.4","27,817.1","28,421.7","27,682.9","13.26K","1.30%"
"04/03/2023","27,814.3","28,189.1","28,492.9","27,242.8","16.19K","-1.32%"
"04/02/2023","28,185.1","28,472.4","28,536.3","27,897.4","6.71K","-1.01%"
"04/01/2023","28,472.4","28,477.1","28,800.7","28,298.4","6.99K","-0.02%"
"03/31/2023","28,477.1","28,034.8","28,641.7","27,590.7","18.92K","1.58%"
"03/30/2023","28,034.8","28,360.3","29,168.7","27,732.1","20.97K","-1.15%"
"03/29/2023","28,360.3","27,272.6","28,624.2","27,258.9","17.71K","4.01%"
"03/28/2023","27,267.2","27,142.9","27,495.4","26,673.8","14.10K","0.46%"
"03/27/2023","27,142.3","27,996.2","28,046.5","26,552.4","17.26K","-3.05%"
"03/26/2023","27,997.0","27,495.1","28,187.7","27,445.0","9.80K","1.81%"
"03/25/2023","27,498.2","27,493.7","27,801.0","27,196.7","9.65K","0.02%"
"03/24/2023","27,493.7","28,355.4","28,432.9","27,048.6","22.19K","-3.06%"
"03/23/2023","28,362.8","27,336.9","28,807.9","27,196.1","26.69K","3.75%"
"03/22/2023","27,336.9","28,218.9","28,927.3","26,710.3","33.97K","-3.13%"
"03/21/2023","28,218.9","27,818.0","28,510.3","27,439.7","16.19K","1.39%"
"03/20/2023","27,832.4","28,040.6","28,550.0","27,234.3","23.77K","-0.74%"
"03/19/2023","28,040.6","26,976.8","28,447.6","26,906.8","16.88K","3.91%"
"03/18/2023","26,986.4","27,449.2","27,761.3","26,666.0","18.09K","-1.71%"
"03/17/2023","27,456.3","25,056.1","27,818.1","24,949.8","40.74K","9.57%"
"03/16/2023","25,058.7","24,381.1","25,209.6","24,228.8","20.75K","2.82%"
"03/15/2023","24,371.2","24,785.5","25,240.7","23,955.1","30.12K","-1.67%"
"03/14/2023","24,785.5","24,205.6","26,520.0","24,073.6","44.09K","2.38%"
"03/13/2023","24,209.8","22,199.9","24,623.9","21,928.3","38.60K","9.05%"
"03/12/2023","22,199.9","20,626.3","22,223.3","20,462.4","19.14K","7.62%"
"03/11/2023","20,627.4","20,229.0","20,935.1","19,917.9","18.92K","1.96%"
"03/10/2023","20,230.7","20,377.1","20,377.1","19,582.9","32.12K","-0.64%"
"03/09/2023","20,360.8","21,701.7","21,821.4","20,061.0","21.32K","-6.19%"
"03/08/2023","21,704.1","22,196.7","22,274.6","21,588.0","13.34K","-2.23%"
"03/07/2023","22,199.8","22,404.1","22,548.4","21,977.8","10.38K","-0.91%"
"03/06/2023","22,404.0","22,430.8","22,591.1","22,316.4","10.66K","-0.11%"
"03/05/2023","22,429.8","22,352.3","22,646.4","22,258.6","5.29K","0.35%"
"03/04/2023","22,350.6","22,355.0","22,407.0","22,174.5","2.26K","0.00%"
"03/03/2023","22,350.8","23,468.8","23,474.5","22,059.6","21.69K","-4.76%"
"03/02/2023","23,468.0","23,636.7","23,786.6","23,204.8","9.24K","-0.71%"
"03/01/2023","23,636.7","23,135.3","23,978.4","23,029.2","12.15K","2.20%"
"02/28/2023","23,128.8","23,490.8","23,595.6","23,035.0","9.51K","-1.55%"
"02/27/2023","23,492.5","23,558.9","23,887.0","23,130.9","12.10K","-0.28%"
"02/26/2023","23,558.9","23,161.8","23,680.3","23,064.9","6.06K","1.69%"
"02/25/2023","23,167.4","23,187.7","23,220.1","22,822.3","5.94K","-0.09%"
"02/24/2023","23,188.3","23,940.7","24,130.3","22,899.6","20.93K","-3.15%"
"02/23/2023","23,941.8","24,183.4","24,599.8","23,623.9","16.83K","-1.00%"
"02/22/2023","24,183.1","24,453.0","24,474.5","23,598.3","17.39K","-1.10%"
"02/21/2023","24,451.9","24,847.1","25,167.2","24,159.9","16.49K","-1.57%"
"02/20/2023","24,841.6","24,294.5","25,102.6","23,854.0","13.98K","2.20%"
"02/19/2023","24,307.2","24,634.1","25,174.9","24,260.1","9.72K","-1.34%"
"02/18/2023","24,638.3","24,570.9","24,860.1","24,453.1","6.19K","0.27%"
"02/17/2023","24,570.9","23,534.1","25,008.3","23,382.6","22.79K","4.41%"
"02/16/2023","23,534.1","24,334.0","25,235.8","23,533.8","30.02K","-3.28%"
"02/15/2023","24,331.6","22,210.0","24,339.8","22,058.5","23.42K","9.55%"
"02/14/2023","22,210.2","21,788.1","22,314.3","21,576.2","14.88K","1.94%"
"02/13/2023","21,786.7","21,789.9","21,901.3","21,415.0","13.24K","-0.02%"
"02/12/2023","21,791.2","21,863.7","22,081.2","21,653.3","5.99K","-0.34%"
"02/11/2023","21,865.0","21,638.0","21,901.6","21,608.7","4.69K","1.05%"
"02/10/2023","21,637.5","21,795.0","21,942.4","21,477.1","12.64K","-0.72%"
"02/09/2023","21,795.0","22,966.4","23,006.3","21,702.2","19.27K","-5.11%"
"02/08/2023","22,969.8","23,252.9","23,417.4","22,685.9","7.69K","-1.22%"
"02/07/2023","23,252.9","22,763.1","23,336.2","22,749.8","9.80K","2.15%"
"02/06/2023","22,763.6","22,936.5","23,151.7","22,645.9","12.15K","-0.75%"
"02/05/2023","22,936.5","23,330.9","23,426.1","22,759.0","6.57K","-1.68%"
"02/04/2023","23,328.5","23,433.8","23,582.3","23,271.1","3.57K","-0.45%"
"02/03/2023","23,433.8","23,504.3","23,700.0","23,229.2","14.21K","-0.15%"
"02/02/2023","23,468.6","23,731.5","24,250.1","23,384.8","16.35K","-1.06%"
"02/01/2023","23,720.9","23,128.7","23,796.2","22,806.9","20.29K","2.57%"
"01/31/2023","23,127.7","22,842.8","23,278.6","22,727.5","22.72K","1.25%"
"01/30/2023","22,842.8","23,754.9","23,799.1","22,577.3","34.29K","-3.84%"
"01/29/2023","23,754.8","23,033.9","23,944.6","22,978.0","20.95K","3.13%"
"01/28/2023","23,033.9","23,082.6","23,183.6","22,889.8","7.46K","-0.21%"
"01/27/2023","23,082.6","23,018.4","23,494.2","22,618.6","27.18K","0.28%"
"01/26/2023","23,018.4","23,083.0","23,269.3","22,879.0","30.16K","-0.17%"
"01/25/2023","23,056.9","22,631.7","23,800.3","22,352.6","38.44K","1.87%"
"01/24/2023","22,634.4","22,919.7","23,160.9","22,517.5","39.13K","-1.21%"
"01/23/2023","22,911.6","22,723.2","23,145.5","22,614.5","32.37K","0.89%"
"01/22/2023","22,709.8","22,773.9","23,068.1","22,327.1","25.55K","-0.28%"
"01/21/2023","22,773.9","22,698.8","23,335.8","22,459.5","32.65K","0.35%"
"01/20/2023","22,694.8","21,085.0","22,738.2","20,879.9","32.79K","7.63%"
"01/19/2023","21,085.0","20,668.1","21,191.4","20,660.6","23.36K","1.98%"
"01/18/2023","20,675.9","21,139.0","21,584.5","20,405.6","34.58K","-2.19%"
"01/17/2023","21,139.0","21,189.3","21,564.5","20,896.4","32.64K","-0.23%"
"01/16/2023","21,187.6","20,880.4","21,406.1","20,633.4","41.14K","1.45%"
"01/15/2023","20,884.6","20,951.4","21,033.9","20,587.7","25.70K","-0.40%"
"01/14/2023","20,967.9","19,927.0","21,290.9","19,901.8","58.23K","5.21%"
"01/13/2023","19,928.7","18,848.5","19,990.3","18,722.6","55.04K","5.71%"
"01/12/2023","18,852.3","17,930.3","19,069.8","17,911.7","61.93K","5.09%"
"01/11/2023","17,938.9","17,443.0","17,985.1","17,321.9","27.24K","2.84%"
"01/10/2023","17,443.0","17,179.6","17,492.1","17,147.1","24.90K","1.53%"
"01/09/2023","17,180.0","17,115.9","17,393.8","17,109.7","33.25K","0.37%"
"01/08/2023","17,115.9","16,941.6","17,125.4","16,912.1","9.17K","1.03%"
"01/07/2023","16,941.5","16,948.3","16,976.2","16,903.6","5.68K","-0.04%"
"01/06/2023","16,948.3","16,824.6","17,009.4","16,698.5","24.23K","0.74%"
"01/05/2023","16,824.6","16,846.1","16,871.1","16,766.8","14.91K","-0.13%"
"01/04/2023","16,846.1","16,668.9","16,983.2","16,649.1","25.92K","1.06%"
"01/03/2023","16,669.0","16,666.9","16,767.2","16,602.0","17.61K","0.00%"
"01/02/2023","16,668.7","16,611.6","16,759.7","16,546.5","13.56K","0.34%"
"01/01/2023","16,611.5","16,528.0","16,617.6","16,493.0","10.66K","0.51%"
"12/31/2022","16,528.0","16,601.3","16,628.9","16,466.6","15.38K","-0.45%"
"12/30/2022","16,602.0","16,631.2","16,637.7","16,352.4","26.53K","-0.18%"
"12/29/2022","16,631.2","16,538.1","16,653.0","16,482.1","20.06K","0.56%"
"12/28/2022","16,538.4","16,698.0","16,773.7","16,467.4","23.34K","-0.96%"
"12/27/2022","16,698.0","16,917.2","16,963.8","16,603.1","17.48K","-1.30%"
"12/26/2022","16,917.2","16,830.3","16,935.6","16,796.3","8.48K","0.52%"
"12/25/2022","16,830.3","16,838.4","16,851.3","16,732.8","7.06K","-0.05%"
"12/24/2022","16,838.4","16,779.2","16,854.8","16,776.8","9.50K","0.35%"
"12/23/2022","16,779.4","16,814.7","16,943.3","16,760.3","21.96K","-0.21%"
"12/22/2022","16,815.1","16,819.4","16,864.4","16,566.0","21.27K","-0.03%"
"12/21/2022","16,819.4","16,902.0","16,924.2","16,733.9","16.72K","-0.49%"
"12/20/2022","16,902.0","16,441.8","17,031.8","16,401.4","34.32K","2.80%"
"12/19/2022","16,441.8","16,745.0","16,816.5","16,319.3","26.84K","-1.80%"
"12/18/2022","16,743.0","16,781.9","16,830.1","16,669.2","11.07K","-0.24%"
"12/17/2022","16,783.2","16,637.4","16,798.0","16,591.7","18.43K","0.85%"
"12/16/2022","16,641.0","17,360.4","17,522.9","16,531.9","47.14K","-4.13%"
"12/15/2022","17,357.5","17,800.1","17,854.9","17,297.3","37.83K","-2.49%"
"12/14/2022","17,800.1","17,774.9","18,360.8","17,687.7","49.26K","0.14%"
"12/13/2022","17,774.9","17,212.3","17,954.8","17,098.6","38.30K","3.31%"
"12/12/2022","17,205.3","17,093.6","17,238.3","16,881.9","20.64K","0.65%"
"12/11/2022","17,093.6","17,129.6","17,257.9","17,078.2","9.94K","-0.21%"
"12/10/2022","17,129.6","17,128.8","17,217.4","17,105.5","7.86K","0.02%"
"12/09/2022","17,127.0","17,226.0","17,290.8","17,081.6","20.96K","-0.58%"
"12/08/2022","17,226.7","16,837.4","17,292.2","16,766.9","23.52K","2.34%"
"12/07/2022","16,832.9","17,085.8","17,122.5","16,716.7","22.62K","-1.48%"
"12/06/2022","17,085.4","16,968.0","17,102.3","16,915.9","26.67K","0.70%"
"12/05/2022","16,966.3","17,115.3","17,418.8","16,884.6","33.62K","-0.86%"
"12/04/2022","17,113.2","16,885.5","17,162.3","16,883.7","16.95K","1.35%"
"12/03/2022","16,885.5","17,092.2","17,134.1","16,866.3","14.08K","-1.21%"
"12/02/2022","17,092.2","16,980.1","17,102.6","16,825.0","23.08K","0.72%"
"12/01/2022","16,970.6","17,167.3","17,238.1","16,866.3","31.79K","-1.15%"
"11/30/2022","17,167.3","16,438.0","17,225.0","16,426.8","42.50K","4.47%"
"11/29/2022","16,433.4","16,206.3","16,525.9","16,097.6","21.89K","1.39%"
"11/28/2022","16,207.6","16,419.6","16,475.5","16,005.9","30.33K","-1.29%"
"11/27/2022","16,419.6","16,450.5","16,587.8","16,399.6","10.82K","-0.19%"
"11/26/2022","16,450.6","16,507.9","16,685.5","16,384.5","12.30K","-0.32%"
"11/25/2022","16,503.1","16,597.4","16,610.1","16,344.4","20.79K","-0.57%"
"11/24/2022","16,597.4","16,587.0","16,781.2","16,463.4","21.80K","0.01%"
"11/23/2022","16,596.1","16,170.8","16,655.4","16,143.0","37.14K","2.47%"
"11/22/2022","16,196.5","15,756.3","16,266.2","15,605.0","44.55K","2.77%"
"11/21/2022","15,759.7","16,257.7","16,262.1","15,500.3","43.78K","-3.06%"
"11/20/2022","16,257.7","16,686.9","16,731.1","16,174.7","16.67K","-2.57%"
"11/19/2022","16,686.9","16,629.8","16,800.0","16,590.4","9.38K","0.39%"
"11/18/2022","16,622.3","16,825.4","16,833.9","16,534.0","26.44K","-0.55%"
"11/17/2022","16,714.0","16,681.9","16,736.0","16,403.4","23.23K","1.12%"
"11/16/2022","16,529.0","16,880.2","16,980.7","16,387.2","35.90K","-2.08%"
"11/15/2022","16,880.2","16,589.7","17,073.6","16,530.2","48.15K","1.75%"
"11/14/2022","16,590.1","16,299.3","17,131.0","15,801.9","55.59K","1.75%"
"11/13/2022","16,304.4","16,774.5","16,919.3","16,243.3","23.26K","-2.78%"
"11/12/2022","16,770.3","16,995.5","17,063.6","16,603.1","23.83K","-1.43%"
"11/11/2022","17,013.8","17,539.2","17,632.5","16,414.2","64.77K","-3.00%"
"11/10/2022","17,539.2","15,852.5","18,106.3","15,766.4","91.48K","10.64%"
"11/09/2022","15,852.5","18,511.8","18,581.4","15,566.3","119.60K","-14.37%"
"11/08/2022","18,511.8","20,592.2","20,670.8","17,569.0","84.01K","-10.10%"
"11/07/2022","20,591.1","20,919.3","21,067.9","20,402.5","25.28K","-1.56%"
"11/06/2022","20,917.5","21,304.2","21,364.6","20,894.6","10.95K","-1.81%"
"11/05/2022","21,303.4","21,146.3","21,470.6","21,082.8","14.08K","0.74%"
"11/04/2022","21,146.3","20,206.9","21,275.3","20,182.8","42.01K","4.64%"
"11/03/2022","20,207.9","20,149.2","20,382.9","20,058.9","26.83K","0.29%"
"11/02/2022","20,149.1","20,479.9","20,794.8","20,062.2","43.91K","-1.65%"
"11/01/2022","20,487.6","20,492.1","20,669.1","20,338.4","21.14K","-0.04%"
"10/31/2022","20,495.9","20,626.2","20,826.6","20,250.6","22.22K","-0.63%"
"10/30/2022","20,626.2","20,822.5","20,933.4","20,526.2","13.73K","-0.94%"
"10/29/2022","20,822.4","20,601.5","21,066.0","20,562.0","19.82K","1.08%"
"10/28/2022","20,599.4","20,295.1","20,748.1","20,024.6","29.58K","1.50%"
"10/27/2022","20,294.2","20,775.4","20,875.5","20,217.9","34.11K","-2.33%"
"10/26/2022","20,778.1","20,095.0","21,001.3","20,060.9","43.61K","3.45%"
"10/25/2022","20,086.0","19,330.6","20,411.9","19,245.6","42.44K","3.88%"
"10/24/2022","19,335.5","19,572.4","19,591.9","19,167.2","29.43K","-1.20%"
"10/23/2022","19,570.2","19,208.7","19,682.1","19,096.9","12.07K","1.89%"
"10/22/2022","19,207.8","19,166.4","19,253.4","19,116.5","7.04K","0.22%"
"10/21/2022","19,165.3","19,045.3","19,248.0","18,679.8","24.19K","0.63%"
"10/20/2022","19,045.3","19,124.0","19,338.8","18,932.5","28.40K","-0.42%"
"10/19/2022","19,125.9","19,328.8","19,355.9","19,095.2","22.28K","-1.05%"
"10/18/2022","19,328.8","19,548.8","19,700.7","19,100.6","27.64K","-1.13%"
"10/17/2022","19,548.8","19,265.1","19,669.2","19,156.9","24.14K","1.49%"
"10/16/2022","19,261.3","19,070.3","19,419.6","19,067.8","8.31K","1.01%"
"10/15/2022","19,067.9","19,185.8","19,220.7","18,997.6","9.06K","-0.61%"
"10/14/2022","19,185.8","19,380.2","19,939.4","19,087.5","46.21K","-1.01%"
"10/13/2022","19,381.9","19,155.6","19,494.8","18,213.0","49.15K","1.18%"
"10/12/2022","19,155.6","19,052.3","19,224.8","18,987.2","24.85K","0.54%"
"10/11/2022","19,052.3","19,136.1","19,260.5","18,862.2","36.23K","-0.44%"
"10/10/2022","19,136.1","19,446.3","19,522.8","19,053.6","26.59K","-1.59%"
"10/09/2022","19,445.9","19,418.8","19,560.9","19,323.2","12.53K","0.14%"
"10/08/2022","19,419.3","19,538.1","19,613.0","19,273.0","9.74K","-0.57%"
"10/07/2022","19,530.6","19,958.9","20,055.5","19,335.6","34.94K","-2.19%"
"10/06/2022","19,968.5","20,161.1","20,448.8","19,864.9","44.04K","-0.96%"
"10/05/2022","20,161.1","20,345.1","20,368.3","19,756.8","33.54K","-0.90%"
"10/04/2022","20,345.1","19,627.2","20,455.3","19,509.5","32.69K","3.60%"
"10/03/2022","19,637.3","19,059.3","19,675.2","18,988.0","28.57K","3.03%"
"10/02/2022","19,059.3","19,313.9","19,397.3","18,926.4","12.95K","-1.32%"
"10/01/2022","19,313.9","19,421.7","19,481.3","19,195.7","7.34K","-0.56%"
"09/30/2022","19,423.3","19,596.4","20,177.4","19,196.6","34.24K","-0.84%"
"09/29/2022","19,588.6","19,411.3","19,639.4","18,867.8","34.78K","0.90%"
"09/28/2022","19,414.0","19,079.5","19,768.3","18,496.6","43.71K","1.75%"
"09/27/2022","19,079.5","19,225.5","20,365.6","18,836.9","51.85K","-0.75%"
"09/26/2022","19,224.4","18,802.8","19,308.4","18,695.2","33.09K","2.23%"
"09/25/2022","18,804.8","18,927.2","19,167.9","18,638.5","14.48K","-0.64%"
"09/24/2022","18,926.4","19,289.7","19,309.1","18,811.5","17.64K","-1.90%"
"09/23/2022","19,293.4","19,405.4","19,484.6","18,541.2","30.77K","-0.56%"
"09/22/2022","19,402.8","18,486.9","19,499.8","18,363.7","41.00K","4.93%"
"09/21/2022","18,491.0","18,874.3","19,828.9","18,190.3","44.32K","-2.04%"
"09/20/2022","18,876.1","19,538.7","19,634.4","18,741.8","27.44K","-3.38%"
"09/19/2022","19,536.4","19,418.4","19,683.1","18,281.1","30.95K","0.61%"
"09/18/2022","19,418.4","20,115.3","20,120.5","19,344.6","16.43K","-3.50%"
"09/17/2022","20,121.9","19,798.3","20,178.2","19,757.5","11.55K","1.61%"
"09/16/2022","19,802.5","19,699.9","19,885.6","19,346.7","24.86K","0.52%"
"09/15/2022","19,699.9","20,224.9","20,330.7","19,530.6","21.12K","-2.61%"
"09/14/2022","20,227.5","20,174.4","20,512.9","19,636.4","25.14K","0.26%"
"09/13/2022","20,174.4","22,394.0","22,754.3","19,910.8","37.35K","-9.92%"
"09/12/2022","22,395.0","21,828.9","22,481.4","21,575.9","28.40K","2.49%"
"09/11/2022","21,851.8","21,656.1","21,851.8","21,372.9","14.38K","0.90%"
"09/10/2022","21,656.1","21,370.0","21,804.4","21,154.4","17.75K","1.34%"
"09/09/2022","21,370.0","19,318.3","21,570.0","19,298.0","39.58K","10.59%"
"09/08/2022","19,323.3","19,281.1","19,446.5","19,033.6","20.32K","0.22%"
"09/07/2022","19,280.1","18,787.6","19,459.9","18,564.8","25.57K","2.63%"
"09/06/2022","18,786.1","19,793.5","20,175.1","18,674.1","34.02K","-5.09%"
"09/05/2022","19,793.5","20,003.2","20,047.7","19,645.6","13.93K","-1.06%"
"09/04/2022","20,005.9","19,836.5","20,020.5","19,595.3","10.67K","0.86%"
"09/03/2022","19,835.5","19,956.0","20,046.2","19,663.2","9.54K","-0.60%"
"09/02/2022","19,955.3","20,127.3","20,440.5","19,764.3","19.93K","-0.84%"
"09/01/2022","20,123.4","20,052.7","20,201.2","19,580.2","23.85K","0.37%"
"08/31/2022","20,049.4","19,799.3","20,454.8","19,794.6","36.57K","1.25%"
"08/30/2022","19,802.9","20,295.2","20,558.5","19,553.1","46.45K","-2.42%"
"08/29/2022","20,294.3","19,548.9","20,401.2","19,548.1","33.41K","3.85%"
"08/28/2022","19,541.8","20,033.6","20,151.6","19,525.6","17.06K","-2.46%"
"08/27/2022","20,033.6","20,253.9","20,360.9","19,852.5","22.15K","-1.09%"
"08/26/2022","20,255.2","21,566.8","21,861.7","20,121.3","37.13K","-6.07%"
"08/25/2022","21,565.1","21,366.5","21,803.6","21,317.2","17.06K","0.94%"
"08/24/2022","21,364.6","21,527.9","21,888.1","21,160.7","22.53K","-0.72%"
"08/23/2022","21,518.9","21,414.2","21,666.1","20,899.3","22.72K","0.49%"
"08/22/2022","21,414.2","21,510.4","21,520.2","20,895.4","26.21K","-0.45%"
"08/21/2022","21,510.4","21,138.9","21,716.1","21,073.0","16.02K","1.75%"
"08/20/2022","21,139.5","20,832.2","21,356.2","20,773.8","21.81K","1.46%"
"08/19/2022","20,835.9","23,198.1","23,205.0","20,813.8","45.94K","-10.18%"
"08/18/2022","23,198.1","23,339.6","23,580.8","23,116.1","13.80K","-0.61%"
"08/17/2022","23,340.1","23,857.3","24,430.1","23,184.4","22.74K","-2.21%"
"08/16/2022","23,867.7","24,103.2","24,247.5","23,692.0","19.60K","-0.93%"
"08/15/2022","24,092.8","24,316.3","25,210.9","23,798.7","27.82K","-0.90%"
"08/14/2022","24,312.4","24,455.2","25,034.2","24,160.4","23.30K","-0.61%"
"08/13/2022","24,460.6","24,408.5","24,889.6","24,312.3","13.67K","0.21%"
"08/12/2022","24,408.5","23,947.8","24,456.7","23,623.8","17.24K","1.92%"
"08/11/2022","23,947.8","23,958.7","24,883.3","23,872.1","29.67K","-0.06%"
"08/10/2022","23,962.1","23,154.1","24,212.5","22,690.3","25.97K","3.50%"
"08/09/2022","23,152.3","23,830.1","23,919.0","22,909.7","22.35K","-2.84%"
